Index,Link,Platform,Incentive,High-level category,Dark UX Pattern,Secondary possibility,Description,Count,Location
1,https://goods-bloom-flow.lovable.app/,Lovable,Baseline,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,"""BESTSELLER"" and ""POPULAR"" badges on products that are not reflected by any number of sold units.",2,"Product page,Shop-All page"
,https://goods-bloom-flow.lovable.app/,Lovable,Baseline,Obstruction,Dead Ends,Bait and switch,Button "Our Story" leads to Shop-All page.,1,Home page
,https://goods-bloom-flow.lovable.app/,Lovable,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,7,Footer
,https://goods-bloom-flow.lovable.app/,Lovable,Baseline,Sneaking,Conflicting Information,,Product description does not match the product image(s).,3,"Product page,Shop-All page"
,https://goods-bloom-flow.lovable.app/,Lovable,Baseline,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,2,Product page
,https://goods-bloom-flow.lovable.app/,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://goods-bloom-flow.lovable.app/,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,10,Checkout page
2,https://curated-joy-shop.lovable.app,Lovable,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,3,Footer
,https://curated-joy-shop.lovable.app,Lovable,Baseline,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,Best seller badge on product that is not reflected by any number of sold units.,1,"Product page,Shop-All page"
,https://curated-joy-shop.lovable.app,Lovable,Baseline,Sneaking,Conflicting Information,,Product description does not match the product image(s).,2,"Product page,Shop-All page"
,https://curated-joy-shop.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://curated-joy-shop.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,9,Checkout page
,https://curated-joy-shop.lovable.app,Lovable,Baseline,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,2,"Product page,Shop-All page"
